Tanggal,Kota/Kabupaten,Suhu Maksimum,Suhu Minimum,Suhu Rata-rata,Curah Hujan,Kelembaban,Kecepatan Angin_Max,Kecepatan Angin_Avg,Arah_Angin_deg,Arah Angin,SS
2019-06-10,Bandung,30.0,17.500000000000004,22.8,0.0,71.0,5.0,2.0,300.0,C ,9.0
2019-06-11,Bandung,31.4,18.0,24.8,0.0,71.0,5.0,2.0,270.0,E ,6.5
2019-06-12,Bandung,30.6,20.0,24.1,0.0,70.0,4.0,2.0,150.0,SE,6.7
2019-06-13,Bandung,31.0,20.0,24.5,0.0,74.0,5.0,2.0,140.0,SE,7.2
2019-06-14,Bandung,29.4,20.0,23.6,0.0,74.0,4.0,2.0,60.0,SE,7.8
2019-06-15,Bandung,29.6,20.0,24.2,0.0,74.0,6.0,3.0,160.0,SE,5.0
2019-06-16,Bandung,30.4,20.0,24.0,0.0,73.0,5.0,2.0,310.0,NW,7.9
2019-06-17,Bandung,30.4,19.0,23.2,10.2,70.0,4.0,2.0,280.0,E ,7.1
2019-06-18,Bandung,30.2,17.500000000000004,22.5,0.0,74.0,5.0,2.0,130.0,W ,9.4
2019-06-19,Bandung,29.6,17.500000000000004,22.7,0.0,68.0,3.0,1.0,270.0,C ,9.1
2019-06-20,Bandung,31.2,17.500000000000004,22.9,0.0,68.0,4.0,1.0,320.0,C ,8.5
2019-06-21,Bandung,29.4,17.500000000000004,22.1,0.0,70.0,3.0,1.0,150.0,C ,9.1
2019-06-22,Bandung,29.8,17.500000000000004,22.6,0.0,67.0,5.0,2.0,270.0,C ,9.2
2019-06-23,Bandung,29.8,18.0,22.6,0.0,74.0,4.0,2.0,270.0,C ,7.9
2019-06-24,Bandung,28.6,19.0,22.8,0.0,73.0,5.0,1.0,280.0,C ,6.6
2019-06-25,Bandung,30.8,17.500000000000004,22.5,0.0,67.0,5.0,2.0,70.0,E ,6.8
2019-06-26,Bandung,29.0,17.500000000000004,22.1,0.0,73.0,3.0,1.0,200.0,S ,9.0
2019-06-27,Bandung,29.0,17.500000000000004,22.8,0.0,73.0,4.0,1.0,300.0,C ,5.5
2019-06-28,Bandung,30.2,19.0,23.4,0.0,72.0,3.0,2.0,140.0,SE,5.7
2019-06-29,Bandung,31.2,18.0,23.0,0.0,63.0,5.0,2.0,110.0,SE,8.1
2019-06-30,Bandung,29.8,18.0,23.1,0.0,68.0,5.0,2.0,280.0,W ,9.3
2019-07-01,Bandung,30.2,18.0,23.1,0.0,68.0,3.0,1.0,270.0,NW,8.8
2019-07-02,Bandung,30.0,18.0,23.7,0.0,70.0,6.0,2.0,180.0,S ,9.3
2019-07-03,Bandung,30.8,19.0,23.9,0.0,70.0,5.0,2.0,320.0,E ,8.5
2019-07-04,Bandung,29.2,20.0,23.4,0.0,77.0,5.0,2.0,290.0,W ,8.5
2019-07-05,Bandung,29.4,20.0,23.9,8.8,75.0,5.0,3.0,130.0,E ,5.3
2019-07-06,Bandung,28.6,21.0,24.0,0.0,75.0,3.0,2.0,120.0,SE,2.9
2019-07-07,Bandung,29.8,19.0,23.3,0.0,79.0,3.0,1.0,200.0,C ,4.4
2019-07-08,Bandung,29.4,19.0,22.9,3.8,77.0,4.0,2.0,120.0,SE,6.2
2019-07-09,Bandung,29.6,19.0,23.2,0.8,74.0,4.0,2.0,100.0,E ,5.8
2019-07-10,Bandung,29.6,18.0,22.7,0.0,71.0,5.0,2.0,270.0,SE,8.2
2019-07-11,Bandung,29.0,17.500000000000004,21.9,0.0,73.0,3.0,2.0,130.0,E ,9.2
2019-07-12,Bandung,29.2,17.500000000000004,21.5,0.0,73.0,4.0,1.0,260.0,C ,7.3
2019-07-13,Bandung,29.6,17.500000000000004,22.4,0.0,69.0,4.0,2.0,80.0,SE,8.9
2019-07-14,Bandung,29.2,17.500000000000004,21.8,0.0,67.0,4.0,2.0,150.0,SE,9.4
2019-07-15,Bandung,27.8,17.500000000000004,21.4,0.0,71.0,5.0,2.0,290.0,C ,8.6
2019-07-16,Bandung,30.0,17.500000000000004,21.9,0.0,60.0,6.0,3.0,150.0,SE,7.8
2019-07-17,Bandung,29.2,17.500000000000004,21.3125,0.0,67.0,4.0,2.0,160.0,C ,9.4
2019-07-18,Bandung,29.8,17.500000000000004,21.5,0.0,68.0,5.0,2.0,150.0,E ,9.2
2019-07-19,Bandung,28.0,17.500000000000004,23.2,0.0,74.0,3.0,2.0,130.0,E ,9.5
2019-07-20,Bandung,29.6,21.0,23.8,0.0,72.0,4.0,3.0,120.0,SE,1.5
2019-07-21,Bandung,30.4,21.0,24.5,27.999999999999996,70.0,7.0,2.0,150.0,E ,3.3
2019-07-22,Bandung,30.4,19.0,23.3,0.0,67.0,3.0,2.0,70.0,C ,9.3
2019-07-23,Bandung,30.8,18.0,22.6,0.0,62.0,5.0,2.0,150.0,C ,7.6
2019-07-24,Bandung,30.0,18.0,23.7,0.0,67.0,2.0,1.0,280.0,C ,9.4
2019-07-25,Bandung,30.8,18.0,23.2,0.0,65.0,5.0,2.0,130.0,E ,9.0
2019-07-26,Bandung,30.6,18.0,22.8,0.0,74.0,4.0,2.0,300.0,W ,9.6
2019-07-27,Bandung,28.8,18.0,22.9,0.0,72.0,4.0,2.0,300.0,C ,9.5
2019-07-28,Bandung,32.2,19.0,23.9,0.0,67.0,3.0,2.0,120.0,SE,6.6
2019-07-29,Bandung,31.0,18.0,22.6,0.0,63.0,4.0,2.0,270.0,SE,8.6
2019-07-30,Bandung,30.6,17.500000000000004,22.4,0.0,70.0,4.0,1.0,80.0,C ,9.5
2019-07-31,Bandung,30.2,17.500000000000004,23.5,0.0,59.0,5.0,3.0,130.0,SE,8.4
2019-08-01,Bandung,30.6,17.500000000000004,22.9,0.0,65.0,5.0,2.0,210.0,E ,9.4
2019-08-02,Bandung,30.6,18.0,23.7,0.0,70.0,5.0,2.0,300.0,SE,9.2
2019-08-03,Bandung,30.0,17.500000000000004,22.1,0.0,70.0,5.0,2.0,90.0,SE,5.3
2019-08-04,Bandung,30.8,17.500000000000004,22.3,0.0,60.0,3.0,2.0,20.0,SE,6.7
2019-08-05,Bandung,29.4,17.500000000000004,21.3125,0.0,59.0,5.0,2.0,260.0,W ,8.3
2019-08-06,Bandung,29.8,17.500000000000004,21.5,0.0,61.0,5.0,2.0,100.0,E ,9.6
2019-08-07,Bandung,29.0,17.500000000000004,22.0,0.0,60.0,5.0,2.0,270.0,SE,9.4
2019-08-08,Bandung,30.6,17.500000000000004,22.3,0.0,65.0,3.0,1.0,110.0,C ,8.7
2019-08-09,Bandung,30.4,17.500000000000004,23.1,0.0,67.0,3.0,1.0,100.0,C ,9.5
2019-08-10,Bandung,30.2,18.0,23.2,0.0,67.0,6.0,2.0,210.0,C ,8.3
2019-08-11,Bandung,30.4,18.0,23.1,0.0,68.0,4.0,2.0,240.0,C ,9.7
2019-08-12,Bandung,30.2,18.0,22.7,0.0,70.0,4.0,1.0,270.0,W ,8.9
2019-08-13,Bandung,30.0,18.0,23.0,0.0,70.0,5.0,2.0,280.0,C ,8.2
2019-08-14,Bandung,30.0,18.0,23.1,0.0,72.0,3.0,2.0,10.0,E ,6.3
2019-08-15,Bandung,30.0,19.0,24.2,0.0,68.0,5.0,2.0,80.0,E ,5.7
2019-08-16,Bandung,31.6,19.0,23.5,27.999999999999996,68.0,4.0,2.0,270.0,C ,5.5
2019-08-17,Bandung,31.6,19.0,23.8,27.999999999999996,61.0,5.0,2.0,120.0,E ,7.9
2019-08-18,Bandung,30.4,17.500000000000004,22.3,0.0,62.0,5.0,2.0,140.0,C ,7.7
2019-08-19,Bandung,30.8,17.500000000000004,22.8,0.0,62.0,5.0,2.0,140.0,SE,8.3
2019-08-20,Bandung,30.6,17.500000000000004,23.2,0.0,66.0,6.0,2.0,100.0,E ,8.0
2019-08-21,Bandung,32.4,18.0,23.5,0.0,68.0,6.0,3.0,20.0,E ,7.5
2019-08-22,Bandung,30.2,18.0,23.6,0.0,71.0,4.0,1.0,130.0,C ,8.8
2019-08-23,Bandung,32.4,19.0,24.1,0.0,61.0,8.0,3.0,120.0,SE,5.5
2019-08-24,Bandung,30.6,17.500000000000004,22.5,0.0,68.0,5.0,2.0,90.0,E ,9.2
2019-08-25,Bandung,30.6,18.0,23.0,0.0,70.0,4.0,2.0,150.0,SE,8.2
2019-08-26,Bandung,29.6,18.0,23.4,0.0,72.0,5.0,2.0,160.0,C ,7.8
2019-08-27,Bandung,29.2,20.0,23.4,0.0,77.0,4.0,2.0,300.0,E ,4.8
2019-08-28,Bandung,30.8,20.0,24.1,0.2,73.0,4.0,2.0,270.0,NE,4.9
2019-08-29,Bandung,31.4,20.0,24.2,0.0,66.0,4.0,1.0,290.0,C ,7.1
2019-08-30,Bandung,32.8,19.0,24.1,27.999999999999996,58.0,5.0,2.0,160.0,SE,6.7
2019-08-31,Bandung,30.4,17.500000000000004,22.3,0.0,58.0,4.0,2.0,120.0,SE,8.6
2019-09-01,Bandung,31.4,17.500000000000004,23.3,0.0,69.0,5.0,2.0,120.0,C ,8.3
2019-09-02,Bandung,32.0,18.0,23.7,0.0,74.0,4.0,2.0,50.0,SE,7.2
2019-09-03,Bandung,31.2,19.0,24.3,0.0,71.0,4.0,2.0,70.0,E ,8.8
2019-09-04,Bandung,32.0,20.0,24.1,0.0,73.0,2.0,1.0,260.0,C ,5.4
2019-09-05,Bandung,31.0,18.0,23.5,22.7,64.0,3.0,2.0,70.0,W ,6.3
2019-09-06,Bandung,32.4,17.500000000000004,23.5,0.0,59.0,3.0,2.0,180.0,NE,7.3
2019-09-07,Bandung,31.6,17.500000000000004,22.7,0.0,60.0,6.0,3.0,160.0,E ,9.4
2019-09-08,Bandung,32.0,17.500000000000004,23.7,0.0,63.0,5.0,2.0,250.0,SE,8.2
2019-09-09,Bandung,32.0,18.0,24.5,0.0,68.0,6.0,2.0,200.0,E ,9.4
2019-09-10,Bandung,33.5,20.0,25.3,0.0,58.0,5.0,2.0,20.0,SE,9.2
2019-09-11,Bandung,32.8,19.0,24.3,0.0,58.0,4.0,2.0,100.0,NW,9.4
2019-09-12,Bandung,33.4,18.0,23.6,0.0,58.0,5.0,2.0,300.0,SE,9.3
2019-09-13,Bandung,30.6,17.500000000000004,22.7,0.0,58.0,5.0,3.0,120.0,W ,8.8
2019-09-14,Bandung,30.6,17.500000000000004,21.8,0.0,66.0,5.0,3.0,120.0,E ,8.9
2019-09-15,Bandung,29.6,17.500000000000004,22.2,0.0,70.0,7.0,2.0,350.0,NE,8.9
2019-09-16,Bandung,30.0,18.0,23.0,0.0,73.0,6.0,2.0,360.0,NE,5.4
2019-09-17,Bandung,32.2,18.0,23.9,0.0,67.0,3.0,2.0,80.0,W ,4.8
2019-09-18,Bandung,32.8,19.0,23.5,0.0,73.0,3.0,2.0,140.0,W ,8.0
2019-09-19,Bandung,32.0,19.0,23.8,27.999999999999996,69.0,4.0,2.0,90.0,E ,7.3
